mac,name,org,venue,model,firmware,uptime,up_days,cpu_busy_pct,cpu_load_1m,cpu_load_5m,cpu_load_15m,mem_used_pct,mem_free_pct,num_ifaces,num_ssids,num_assocs,chan_2g,width_2g,chan_5g,width_5g,chan_6g,width_6g,conf_2g,conf_5g,conf_6g,conf_2g_bw,conf_5g_bw,conf_6g_bw,last_state,wan_carrier,wan_speed,wan_duplex
d4babaa1eaa0,AP0406,Temple Buildings,Temple Rochester,cig_wf186w,Shasta-AP-NOS Rel 2.1 build 21,468004,5.42,8,0.338384,0.251469,0.197757,45.83,54.17,2,2,0,1,20,36,40,0,0,auto,auto,unknown,20,40,unknown,-247.100862,1,1000,full
d4babaa1eb18,AP0506,Temple Buildings,Temple Rochester,cig_wf186w,Shasta-AP-NOS Rel 2.1 build 21,3954235,45.77,7,0.320806,0.248539,0.248051,50.18,49.82,2,2,1,11,20,36,40,0,0,auto,auto,unknown,20,40,unknown,-218.100862,1,1000,full
d4babaa1eb48,AP1202,Temple Buildings,Temple Rochester,cig_wf186w,Shasta-AP-NOS Rel 2.1 build 21,4222521,48.87,4,0.217288,0.226566,0.195315,49.67,50.33,2,2,3,6,20,149,40,0,0,auto,auto,unknown,20,40,unknown,-248.100862,1,1000,full
d4babaa1ebf0,AP0206,Temple Buildings,Temple Rochester,cig_wf186w,Shasta-AP-NOS Rel 2.1 build 21,4137066,47.88,6,0.090822,0.211429,0.250492,51.79,48.21,2,2,1,6,20,36,40,0,0,auto,auto,unknown,20,40,unknown,-226.100862,1,1000,full
d4babaa1ecf8,AP0606,Temple Buildings,Temple Rochester,cig_wf186w,Shasta-AP-NOS Rel 2.1 build 21,4635337,53.65,6,0.262211,0.270512,0.212406,52.09,47.91,2,2,2,6,20,149,40,0,0,auto,auto,unknown,20,40,unknown,-214.100862,1,1000,full
d4babaa1eed8,AP1206,Temple Buildings,Temple Rochester,cig_wf186w,Shasta-AP-NOS Rel 2.1 build 21,4222498,48.87,5,0.165042,0.188479,0.216312,49.97,50.03,2,2,0,6,20,36,40,0,0,auto,auto,unknown,20,40,unknown,-221.100862,1,1000,full
d4babaa1f088,AP1204,Temple Buildings,Temple Rochester,cig_wf186w,Shasta-AP-NOS Rel 2.1 build 21,4043386,46.8,4,0.203616,0.184085,0.175784,49.49,50.51,2,2,0,11,20,149,40,0,0,auto,auto,unknown,20,40,unknown,-209.100862,1,1000,full
d4babaa1f118,AP1306,Temple Buildings,Temple Rochester,cig_wf186w,Shasta-AP-NOS Rel 2.1 build 21,4228072,48.94,5,0.309087,0.228519,0.190433,50.17,49.83,2,2,3,6,20,36,40,0,0,auto,auto,unknown,20,40,unknown,-229.100862,1,1000,full
d4babaa1f148,AP1304,Temple Buildings,Temple Rochester,cig_wf186w,Shasta-AP-NOS Rel 2.1 build 21,4228110,48.94,7,0.260258,0.270512,0.21973,49.69,50.31,2,2,0,11,20,149,40,0,0,auto,auto,unknown,20,40,unknown,-261.100862,1,1000,full
d4babaa1f160,AP1302,Temple Buildings,Temple Rochester,cig_wf186w,Shasta-AP-NOS Rel 2.1 build 21,4228065,48.94,4,0.177249,0.220706,0.247074,50.71,49.29,2,2,0,1,20,149,40,0,0,auto,auto,unknown,20,40,unknown,-214.100862,1,1000,full
d4babaa1f1d8,AP0813,Temple Buildings,Temple Rochester,cig_wf186w,Shasta-AP-NOS Rel 2.1 build 21,4301317,49.78,3,0.157717,0.203616,0.194339,52.33,47.67,2,2,0,6,20,44,40,0,0,auto,auto,unknown,20,40,unknown,-243.100862,1,1000,full
d4babaa1f280,AP0702,Temple Buildings,Temple Rochester,cig_wf186w,Shasta-AP-NOS Rel 2.1 build 21,4660500,53.94,4,0.14258,0.166018,0.176761,50.87,49.13,2,2,2,6,20,149,40,0,0,auto,auto,unknown,20,40,unknown,-265.100862,1,1000,full
d4babaa1f340,AP0604,Temple Buildings,Temple Rochester,cig_wf186w,Shasta-AP-NOS Rel 2.1 build 21,4644876,53.76,7,0.248539,0.228519,0.189456,42.3,57.7,2,2,0,6,20,36,40,0,0,auto,auto,unknown,20,40,unknown,-244.100862,1,1000,full
d4babaa1f3d0,AP1102,Temple Buildings,Temple Rochester,cig_wf186w,Shasta-AP-NOS Rel 2.1 build 21,2572938,29.78,5,0.288579,0.263188,0.208988,48.66,51.34,2,2,7,11,20,36,40,0,0,auto,auto,unknown,20,40,unknown,-238.100862,1,1000,full
d4babaa1f448,AP0706,Temple Buildings,Temple Rochester,cig_wf186w,Shasta-AP-NOS Rel 2.1 build 21,4659321,53.93,4,0.293462,0.278325,0.249027,48.89,51.11,2,2,0,6,20,36,40,0,0,auto,auto,unknown,20,40,unknown,-289.100862,1,1000,full
d4babaa1f490,AP0304,Temple Buildings,Temple Rochester,cig_wf186w,Shasta-AP-NOS Rel 2.1 build 21,4127645,47.77,6,0.195804,0.195315,0.181643,53.42,46.58,2,2,9,11,20,149,40,0,0,auto,auto,unknown,20,40,unknown,-271.100862,1,1000,full
